invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I462334,C581256,Clothing,4,2572.96,12-04-2021,Istinye Park
I308102,C133969,Cosmetics,4,4318.51,08-06-2021,Metrocity
I206868,C190634,Toys,3,1261.39,28-05-2021,Kanyon
I305040,C339923,Clothing,1,8229.43,24-08-2022,Kanyon
I315651,C189487,Clothing,3,6024.89,21-08-2022,Istinye Park
I197825,C376124,Cosmetics,4,6355.88,08-09-2022,Kanyon
I141572,C300874,Cosmetics,2,5334.08,07-08-2022,Mall of Istanbul
I779880,C178007,Food & Beverage,5,247.46,18-11-2022,Mall of Istanbul
I705105,C313698,Souvenir,3,2062.27,01-01-2022,Kanyon
I158985,C961876,Clothing,1,9301.93,20-06-2022,Kanyon
I307743,C263145,Technology,2,4537.09,06-06-2021,Mall of Istanbul
I177672,C144061,Shoes,5,2500.45,21-07-2022,Metropol AVM
I302777,C327893,Shoes,1,1538.08,14-02-2021,Cevahir AVM
I330272,C137352,Toys,5,9741.55,22-11-2021,Emaar Square Mall
I229053,C284781,Clothing,3,1860.19,17-03-2022,Kanyon
I225272,C134421,Technology,2,9761.74,16-03-2021,Metrocity
I261331,C230388,Clothing,3,3455.52,24-04-2021,Mall of Istanbul
I247463,C205704,Technology,1,6003.9,28-05-2021,Kanyon
I238288,C245472,Clothing,5,445.59,06-03-2021,Mall of Istanbul
I116109,C213826,Food & Beverage,1,7666.91,06-06-2022,Metrocity
I265297,C119065,Technology,5,4648.85,22-10-2022,Emaar Square Mall
I120944,C311285,Food & Beverage,3,75.38,24-04-2022,Kanyon
I104605,C269907,Toys,1,6378.87,04-03-2021,Cevahir AVM
I315115,C217499,Clothing,5,6847.6,25-01-2022,Istinye Park
I888459,C338287,Clothing,3,121.09,29-01-2021,Metrocity
I273115,C893480,Food & Beverage,1,2360.97,23-02-2022,Forum Istanbul
I115156,C124204,Food & Beverage,5,4567.4,17-02-2022,Metrocity
I162392,C790648,Food & Beverage,5,8133.83,11-02-2023,Kanyon
I260339,C229034,Books,3,4641.03,08-10-2022,Kanyon
I116321,C173571,Food & Beverage,1,4563.09,03-10-2022,Emaar Square Mall
I326890,C154147,Shoes,4,5897.67,21-11-2022,Metrocity
I271124,C227551,Cosmetics,1,7321.48,18-12-2022,Metrocity
I829759,C203693,Clothing,3,256.14,24-12-2021,Emaar Square Mall
I305696,C100446,Toys,4,7751.5,13-02-2021,Metrocity
I387329,C321876,Clothing,5,8284.27,06-01-2021,Mall of Istanbul
I104733,C133794,Cosmetics,5,6897.15,07-11-2021,Mall of Istanbul
I246600,C118114,Souvenir,2,6323.66,31-03-2022,Mall of Istanbul
I326234,C116164,Clothing,4,5819.03,22-06-2021,Metrocity
I491895,C560761,Shoes,2,8069.8,29-07-2022,Metropol AVM
I236080,C241710,Souvenir,2,486.59,03-11-2021,Kanyon
I171585,C134773,Clothing,2,981.27,15-08-2022,Istinye Park
I874153,C365201,Cosmetics,5,7720.56,07-02-2023,Forum Istanbul
I242480,C338423,Clothing,4,8085.91,15-05-2022,Metrocity
I238709,C173684,Cosmetics,3,8960.08,22-04-2022,Cevahir AVM
I252987,C257103,Books,3,6238.97,03-04-2021,Viaport Outlet
I134741,C331000,Clothing,1,6984.54,31-05-2021,Forum Istanbul
I920398,C202604,Cosmetics,3,3989.65,27-02-2023,Metrocity
I218363,C175436,Cosmetics,2,873.61,06-03-2021,Emaar Square Mall
I203941,C155299,Cosmetics,2,1363.05,21-08-2021,Mall of Istanbul
I230258,C408947,Cosmetics,1,880.68,31-03-2021,Forum Istanbul
I376104,C206100,Shoes,3,2913.68,02-02-2023,Metrocity
I237626,C256114,Shoes,3,6463.13,11-08-2022,Mall of Istanbul
I274879,C239630,Food & Beverage,5,5441.0,10-08-2022,Emaar Square Mall
I985232,C160245,Clothing,5,814.64,27-01-2021,Istinye Park
I145034,C848409,Souvenir,4,3490.02,28-09-2022,Istinye Park
I274156,C121290,Clothing,2,8237.17,15-12-2022,Mall of Istanbul
I206204,C162234,Books,1,4098.83,20-04-2021,Cevahir AVM
I190792,C127722,Clothing,4,52.01,25-07-2022,Kanyon
I211920,C243607,Clothing,5,1804.73,18-12-2022,Zorlu Center
I291674,C248022,Clothing,2,8845.48,15-11-2022,Zorlu Center
I330323,C511215,Cosmetics,5,7925.76,25-03-2022,Istinye Park
I523219,C307230,Clothing,5,4647.03,15-12-2022,Kanyon
I159362,C172087,Cosmetics,2,539.35,28-10-2021,Kanyon
I293030,C258378,Toys,3,7574.97,16-05-2022,Kanyon
I189067,C112886,Souvenir,4,6698.48,28-12-2021,Mall of Istanbul
I283149,C210574,Shoes,4,4395.99,14-01-2021,Kanyon
I236624,C121231,Clothing,5,3728.24,15-02-2023,Mall of Istanbul
I270711,C288046,Souvenir,2,6841.03,08-08-2021,Istinye Park
I962434,C292841,Food & Beverage,3,7216.27,19-03-2021,Istinye Park
I572364,C161909,Books,5,1062.93,17-11-2021,Istinye Park
I556377,C270944,Clothing,4,6289.67,26-12-2022,Mall of Istanbul
I202239,C192228,Clothing,3,8938.74,25-10-2021,Kanyon
I324313,C217459,Cosmetics,3,8715.29,19-11-2021,Forum Istanbul
I258071,C653273,Food & Beverage,5,7793.35,01-06-2022,Kanyon
I179406,C374835,Technology,1,6373.99,08-04-2021,Kanyon
I304079,C499546,Cosmetics,4,6449.19,26-03-2022,Forum Istanbul
I138284,C277729,Books,1,9206.54,13-11-2021,Kanyon
I156297,C115261,Food & Beverage,5,5752.24,13-09-2022,Mall of Istanbul
I280024,C147603,Clothing,3,908.78,15-04-2021,Viaport Outlet
I248279,C141141,Technology,5,2678.86,10-03-2022,Kanyon
I148217,C301945,Clothing,3,9379.96,23-12-2021,Istinye Park
I672188,C267978,Clothing,3,7264.85,22-03-2022,Mall of Istanbul
I150296,C934968,Cosmetics,1,429.44,02-12-2021,Kanyon
I278535,C207109,Clothing,3,4426.52,25-04-2021,Metrocity
I944658,C193436,Technology,4,9928.15,01-01-2023,Mall of Istanbul
I105385,C373941,Clothing,3,5960.48,01-02-2022,Mall of Istanbul
I215910,C243396,Toys,5,2720.94,05-03-2022,Cevahir AVM
I508311,C261292,Food & Beverage,2,6110.51,07-02-2022,Mall of Istanbul
I152934,C173299,Cosmetics,4,5423.56,25-04-2021,Zorlu Center
I195659,C123448,Cosmetics,3,6221.84,25-07-2022,Forum Istanbul
I131804,C132164,Cosmetics,5,7795.29,03-10-2021,Mall of Istanbul
I771657,C248435,Shoes,2,5338.63,19-01-2023,Viaport Outlet
I583598,C146405,Clothing,5,9675.24,22-08-2021,Mall of Istanbul
I195151,C262112,Clothing,5,6454.96,30-11-2022,Mall of Istanbul
I100550,C123577,Souvenir,5,2992.67,22-11-2022,Cevahir AVM
I145578,C142410,Souvenir,3,5798.07,25-08-2022,Viaport Outlet
I126745,C979060,Clothing,4,4357.5,30-03-2022,Emaar Square Mall
I293842,C139969,Toys,2,2083.82,19-01-2023,Metrocity
I196317,C662596,Food & Beverage,1,1861.51,10-05-2021,Mall of Istanbul
I797209,C237948,Food & Beverage,2,8065.47,29-10-2022,Metrocity
I204779,C270449,Clothing,2,9409.18,17-05-2021,Kanyon
I217796,C289830,Cosmetics,2,6447.01,23-06-2022,Emaar Square Mall
I547340,C319954,Shoes,5,265.64,21-03-2021,Forum Istanbul
I215080,C202613,Toys,5,1979.24,21-04-2022,Metropol AVM
I629442,C154043,Technology,1,8752.09,19-03-2022,Istinye Park
I906627,C179873,Toys,4,8400.52,01-01-2022,Metropol AVM
I459235,C249870,Clothing,1,8402.38,18-03-2021,Viaport Outlet
I445691,C433746,Toys,1,568.97,21-06-2021,Kanyon
I137452,C213934,Clothing,4,8725.81,20-08-2022,Metropol AVM
I133946,C657345,Clothing,1,3954.0,06-04-2021,Metropol AVM
I323665,C291564,Clothing,1,5063.65,17-05-2021,Cevahir AVM
I289597,C103386,Shoes,5,290.58,24-05-2021,Metropol AVM
I489805,C437934,Books,4,5411.54,26-05-2021,Kanyon
I192472,C264222,Clothing,1,1434.94,15-10-2022,Emaar Square Mall
I227080,C282455,Clothing,2,4262.59,28-10-2022,Viaport Outlet
I527890,C217507,Cosmetics,1,6119.68,12-09-2022,Kanyon
I187564,C184325,Souvenir,4,6140.41,22-01-2022,Forum Istanbul
I304824,C267148,Clothing,3,5014.07,06-02-2021,Kanyon
I612145,C245988,Souvenir,5,2351.37,06-08-2021,Metrocity
I723207,C191517,Shoes,3,1667.83,02-02-2023,Mall of Istanbul
I318147,C308492,Food & Beverage,5,3851.59,04-05-2021,Metrocity
I740696,C214321,Clothing,3,8135.48,28-05-2022,Mall of Istanbul
I977898,C942672,Food & Beverage,5,3790.09,29-06-2021,Mall of Istanbul
I100229,C397160,Cosmetics,4,221.15,28-02-2023,Mall of Istanbul
I275680,C126679,Clothing,4,9757.21,07-03-2021,Kanyon
I662101,C272349,Toys,1,9128.29,30-01-2021,Metropol AVM
I338871,C190765,Shoes,1,2055.21,15-06-2022,Istinye Park
I325746,C339794,Clothing,1,8573.35,08-12-2021,Zorlu Center
I606286,C279640,Clothing,5,5259.35,13-04-2022,Mall of Istanbul
I249998,C162963,Shoes,2,3057.62,12-10-2021,Metrocity
I931113,C261208,Clothing,4,6261.77,01-10-2022,Cevahir AVM
I644486,C205939,Shoes,2,3578.9,07-02-2023,Metropol AVM
I150356,C254964,Clothing,4,8077.56,12-05-2022,Kanyon
I277481,C681427,Technology,4,5885.27,20-05-2021,Zorlu Center
I261211,C130772,Cosmetics,4,2734.02,10-05-2021,Metrocity
I299757,C148390,Clothing,1,4370.86,30-03-2021,Kanyon
I272153,C310612,Toys,5,4573.58,21-01-2021,Metrocity
I331029,C205555,Shoes,4,7667.44,06-02-2023,Kanyon
I134489,C277617,Clothing,2,4610.98,23-07-2021,Metropol AVM
I120974,C199026,Clothing,1,9197.27,16-12-2021,Viaport Outlet
I467944,C334466,Books,2,7882.0,29-07-2021,Kanyon
I182085,C341094,Clothing,5,5769.74,29-04-2022,Kanyon
I260882,C330002,Clothing,2,9885.03,18-01-2022,Kanyon
I248828,C243405,Clothing,3,868.83,18-09-2022,Emaar Square Mall
I683269,C982907,Clothing,5,4586.9,24-06-2022,Viaport Outlet
I230382,C296656,Clothing,4,1057.79,16-04-2022,Kanyon
I289140,C454305,Clothing,1,4749.72,22-01-2022,Kanyon
I170723,C167969,Technology,3,4039.22,06-10-2021,Metrocity
I226317,C155007,Books,2,6976.94,20-09-2021,Metrocity
I806900,C268712,Clothing,2,5233.54,20-05-2021,Zorlu Center
I846169,C313068,Shoes,3,9166.96,27-01-2022,Cevahir AVM
I142437,C296589,Cosmetics,3,6193.89,04-01-2022,Mall of Istanbul
I247531,C137935,Toys,5,3220.92,07-06-2022,Forum Istanbul
I623341,C491135,Food & Beverage,2,2482.84,29-10-2022,Zorlu Center
I976733,C215226,Clothing,1,5331.59,29-01-2022,Zorlu Center
I949274,C118171,Clothing,1,5268.74,14-08-2022,Emaar Square Mall
I153369,C304995,Technology,1,9313.05,20-06-2022,Metrocity
I144731,C182738,Toys,3,5595.87,08-01-2021,Metrocity
I259368,C340087,Clothing,2,691.96,07-07-2021,Mall of Istanbul
I126154,C335403,Cosmetics,4,4081.48,20-10-2021,Kanyon
I292255,C176036,Cosmetics,4,4207.63,23-02-2023,Viaport Outlet
I154774,C187846,Clothing,1,2258.11,21-01-2023,Forum Istanbul
I276348,C158415,Food & Beverage,2,4847.54,11-08-2021,Metrocity
I244349,C305170,Books,5,4724.12,25-09-2022,Cevahir AVM
I262116,C852248,Clothing,3,5293.89,15-09-2022,Kanyon
I400571,C236966,Souvenir,5,970.16,03-11-2022,Forum Istanbul
I518746,C296658,Shoes,3,2517.25,10-07-2022,Metropol AVM
I244863,C320792,Clothing,2,8292.5,04-08-2022,Istinye Park
I938860,C273675,Technology,3,3985.9,29-07-2022,Kanyon
I233411,C703332,Clothing,3,8721.66,05-12-2021,Mall of Istanbul
I271596,C314087,Cosmetics,4,7180.59,21-07-2022,Cevahir AVM
I209365,C272997,Cosmetics,5,8009.83,03-04-2021,Kanyon
I175824,C228255,Toys,2,5320.41,05-01-2022,Metropol AVM
I646447,C247484,Toys,4,4722.43,29-11-2021,Mall of Istanbul
I205136,C243310,Clothing,5,1200.36,17-05-2021,Viaport Outlet
I494159,C288952,Clothing,2,7696.44,06-03-2021,Zorlu Center
I121574,C821668,Clothing,5,7310.9,03-06-2022,Zorlu Center
I853265,C280059,Clothing,3,9451.04,05-10-2022,Metrocity
I325307,C216024,Clothing,1,2464.76,15-02-2023,Mall of Istanbul
I326212,C891433,Shoes,4,1602.94,14-08-2022,Emaar Square Mall
I168595,C210815,Clothing,5,2476.09,24-12-2022,Mall of Istanbul
I337279,C212779,Cosmetics,3,8616.58,22-12-2021,Mall of Istanbul
I878562,C112030,Cosmetics,1,4215.14,16-04-2022,Kanyon
I234036,C169399,Food & Beverage,4,98.1,21-09-2022,Viaport Outlet
I550658,C133922,Toys,4,6831.87,09-11-2021,Forum Istanbul
I221022,C772963,Clothing,3,2129.88,04-02-2022,Mall of Istanbul
I134505,C147317,Cosmetics,2,5293.38,28-02-2021,Metrocity
I871732,C701584,Cosmetics,1,513.93,11-12-2021,Cevahir AVM
I281303,C133516,Technology,4,6051.23,19-07-2022,Viaport Outlet
I261883,C265043,Toys,5,2935.7,07-10-2022,Metropol AVM
I278244,C206474,Technology,5,9383.37,07-07-2022,Kanyon
I251087,C212706,Toys,1,1150.66,27-09-2021,Kanyon
I659434,C742000,Clothing,3,5216.44,28-09-2022,Cevahir AVM
I129901,C422886,Technology,3,1649.92,16-10-2021,Mall of Istanbul
I335833,C274276,Cosmetics,1,987.32,11-03-2022,Kanyon
I196402,C319548,Technology,3,8907.83,16-04-2022,Metrocity
I212853,C318128,Clothing,4,6305.69,14-01-2022,Metrocity
I863800,C216578,Clothing,4,2929.71,16-07-2021,Mall of Istanbul
I272824,C307424,Clothing,1,3728.16,18-01-2022,Kanyon
I302779,C107134,Clothing,2,1062.2,03-05-2021,Mall of Istanbul
I240483,C860997,Toys,1,333.96,27-03-2022,Viaport Outlet
I227782,C328459,Clothing,3,6075.61,01-09-2021,Cevahir AVM
I943213,C276816,Technology,5,8104.96,24-03-2021,Kanyon
I874663,C305128,Books,2,2039.29,05-09-2021,Zorlu Center
I230097,C324613,Clothing,3,1672.79,13-07-2021,Emaar Square Mall
I450898,C142422,Food & Beverage,4,9949.97,18-08-2021,Kanyon
I177297,C210459,Clothing,4,4404.54,03-09-2021,Forum Istanbul
I128103,C107472,Shoes,4,3311.43,21-03-2022,Mall of Istanbul
I724627,C801775,Shoes,3,8853.41,16-01-2021,Metropol AVM
I156706,C258753,Clothing,5,7378.79,08-12-2021,Kanyon
I181065,C289457,Toys,4,939.48,17-02-2022,Kanyon
I131164,C324113,Technology,5,6977.08,18-02-2021,Mall of Istanbul
I145925,C162484,Clothing,3,3587.47,26-03-2021,Emaar Square Mall
I100881,C332806,Souvenir,1,5001.67,06-05-2021,Kanyon
I291606,C214591,Clothing,4,3449.29,30-09-2022,Istinye Park
I292080,C260930,Cosmetics,2,9066.28,27-05-2021,Cevahir AVM
I246885,C122881,Technology,3,2447.75,10-12-2021,Kanyon
I138713,C246936,Food & Beverage,5,2272.39,30-01-2021,Istinye Park
I308788,C145554,Food & Beverage,2,4147.22,06-12-2022,Istinye Park
I303031,C176647,Toys,4,8507.69,14-05-2022,Istinye Park
I277391,C334071,Toys,2,4913.36,14-11-2022,Kanyon
I287626,C194664,Clothing,3,3959.12,08-04-2021,Kanyon
I866232,C186397,Books,5,7230.2,07-12-2022,Metrocity
I127928,C195569,Clothing,4,5553.29,07-12-2021,Istinye Park
I256723,C275529,Souvenir,1,9961.36,25-10-2021,Zorlu Center
I260936,C221924,Cosmetics,1,6165.09,17-03-2021,Metropol AVM
I306213,C181877,Food & Beverage,1,254.05,08-10-2021,Kanyon
I227855,C322487,Cosmetics,4,1246.81,17-12-2021,Istinye Park
I980460,C241109,Clothing,2,5374.65,25-06-2021,Cevahir AVM
I146855,C302536,Clothing,4,783.89,14-02-2022,Mall of Istanbul
I190761,C226566,Clothing,4,9087.83,31-01-2023,Metropol AVM
I941968,C174603,Food & Beverage,5,7775.75,01-06-2021,Istinye Park
I355567,C313394,Clothing,4,7796.74,30-10-2022,Metrocity
I141594,C232458,Cosmetics,1,4364.82,21-06-2021,Metrocity
I189314,C121074,Clothing,2,9260.78,24-12-2022,Emaar Square Mall
I195681,C262986,Cosmetics,2,1316.78,18-01-2023,Cevahir AVM
I289386,C538779,Food & Beverage,3,5016.58,25-03-2022,Istinye Park
I313953,C117779,Clothing,4,3656.47,08-01-2023,Mall of Istanbul
I208438,C102693,Cosmetics,5,105.92,06-05-2022,Kanyon
I232484,C333193,Toys,5,7397.09,16-08-2022,Metrocity
I309821,C256782,Toys,3,6665.78,15-04-2022,Cevahir AVM
I830943,C257409,Food & Beverage,1,6470.65,29-12-2021,Metrocity
I258257,C240840,Clothing,3,1189.95,13-12-2022,Metrocity
I143368,C282046,Food & Beverage,4,4392.44,30-04-2022,Viaport Outlet
I324522,C225998,Toys,5,1703.66,28-01-2023,Kanyon
I222204,C221423,Cosmetics,5,5491.51,25-01-2022,Emaar Square Mall
I195679,C132830,Clothing,2,4339.32,25-01-2022,Kanyon
I275346,C429104,Food & Beverage,1,4067.83,15-02-2021,Mall of Istanbul
I297787,C303627,Cosmetics,2,4020.74,29-05-2021,Mall of Istanbul
I827726,C245259,Shoes,4,3151.27,23-02-2023,Kanyon
I242898,C532870,Toys,3,5236.19,15-03-2022,Mall of Istanbul
I249704,C318522,Toys,4,7188.95,04-06-2022,Mall of Istanbul
I312913,C290391,Cosmetics,4,3081.51,09-04-2022,Kanyon
I120767,C274909,Clothing,5,7238.99,16-04-2022,Forum Istanbul
I805840,C264134,Clothing,2,8679.39,06-05-2022,Forum Istanbul
I295475,C119218,Toys,4,6912.88,18-12-2022,Kanyon
I426221,C303656,Food & Beverage,2,60.57,11-02-2021,Metrocity
I296733,C127992,Clothing,2,5653.76,02-10-2021,Emaar Square Mall
I126547,C102767,Technology,2,7683.34,25-05-2021,Kanyon
I837609,C132194,Clothing,5,8368.08,17-05-2022,Metrocity
I290110,C220207,Shoes,5,4211.48,20-07-2021,Cevahir AVM
I284401,C121223,Clothing,2,2084.19,18-09-2022,Mall of Istanbul
I312461,C757402,Shoes,4,334.92,24-10-2022,Metropol AVM
I286831,C302194,Clothing,4,2888.22,22-02-2021,Viaport Outlet
I119976,C176320,Clothing,5,8431.87,29-05-2021,Kanyon
I860983,C101779,Food & Beverage,5,4503.26,10-05-2021,Istinye Park
I109868,C297075,Clothing,3,888.58,06-12-2022,Metrocity
I173397,C975708,Toys,3,9113.36,20-02-2022,Cevahir AVM
I248169,C305005,Food & Beverage,2,2782.71,13-12-2021,Mall of Istanbul
I339922,C136635,Clothing,3,257.0,21-08-2021,Metropol AVM
I302773,C244691,Cosmetics,1,4463.72,24-11-2022,Mall of Istanbul
I118442,C166917,Shoes,1,1251.37,26-10-2022,Cevahir AVM
I849112,C174630,Books,1,5655.54,11-04-2021,Metropol AVM
I512484,C255359,Cosmetics,2,3478.49,08-01-2023,Istinye Park
I251412,C233590,Clothing,4,8630.0,23-08-2021,Mall of Istanbul
I648424,C147906,Technology,3,2675.62,08-01-2023,Kanyon
I164420,C175799,Clothing,2,5052.69,21-12-2022,Kanyon
I251707,C674214,Food & Beverage,1,3589.24,12-10-2022,Metropol AVM
I220134,C464994,Clothing,3,7601.76,07-12-2021,Forum Istanbul
I123862,C143061,Shoes,2,3086.25,25-01-2023,Metrocity
I194208,C280476,Clothing,2,931.19,27-12-2021,Kanyon
I640554,C322879,Toys,2,8102.06,27-12-2022,Metropol AVM
I321043,C226026,Clothing,4,9035.99,28-02-2023,Istinye Park
I279365,C313706,Toys,2,1590.92,16-04-2021,Metropol AVM
I244744,C103998,Toys,4,5794.37,13-05-2022,Istinye Park
I320755,C321771,Clothing,5,7028.16,17-09-2022,Viaport Outlet
I111280,C206081,Clothing,5,4938.82,10-08-2022,Kanyon
I224518,C309421,Food & Beverage,3,5697.73,20-04-2021,Zorlu Center
I156181,C254057,Souvenir,1,3375.85,03-09-2022,Mall of Istanbul
I234869,C238245,Cosmetics,5,9242.74,05-12-2022,Metrocity
I324422,C252494,Food & Beverage,2,6982.96,27-07-2021,Istinye Park
I259177,C333857,Cosmetics,1,7762.01,07-08-2022,Cevahir AVM
I224962,C223681,Clothing,5,5234.38,04-12-2022,Viaport Outlet
I260111,C813151,Food & Beverage,1,6787.78,11-04-2021,Kanyon
I172785,C745757,Cosmetics,4,8544.0,06-04-2021,Zorlu Center
I320105,C113173,Souvenir,5,5826.48,30-09-2022,Forum Istanbul
I219719,C114665,Clothing,5,5278.67,23-06-2022,Metrocity
I103837,C443395,Clothing,3,7236.61,22-09-2022,Metropol AVM
I988358,C287864,Shoes,4,9236.23,24-07-2021,Viaport Outlet
I132904,C250570,Shoes,1,9131.12,11-08-2021,Viaport Outlet
I216774,C162777,Shoes,5,2200.95,22-08-2021,Kanyon
I836951,C382440,Clothing,3,9179.79,01-01-2021,Metrocity
I235224,C330787,Souvenir,5,224.89,03-02-2021,Metropol AVM
I188925,C134130,Shoes,2,5294.02,12-01-2023,Istinye Park
I864006,C280564,Clothing,4,1171.54,05-03-2022,Metropol AVM
I258890,C103314,Books,2,6696.78,17-02-2023,Metropol AVM
I263318,C298535,Souvenir,4,6308.04,03-04-2021,Kanyon
I244277,C187822,Shoes,3,4502.18,25-08-2021,Istinye Park
I287367,C110784,Food & Beverage,5,1436.59,07-10-2022,Kanyon
I214350,C182227,Clothing,3,4974.6,22-12-2022,Cevahir AVM
I230074,C894268,Toys,2,5518.28,17-12-2022,Emaar Square Mall
I193228,C126014,Cosmetics,3,6768.79,17-03-2021,Kanyon
I227232,C123022,Clothing,4,5149.69,21-02-2022,Istinye Park
I141161,C254130,Cosmetics,4,6109.18,03-09-2022,Kanyon
I314079,C282861,Clothing,4,5221.99,25-03-2022,Mall of Istanbul
I209832,C203324,Clothing,2,3658.41,05-03-2022,Metrocity
I284919,C133270,Clothing,3,4986.16,15-05-2022,Mall of Istanbul
I317097,C935649,Shoes,1,5993.61,27-03-2022,Zorlu Center
I193774,C220668,Clothing,3,784.68,17-01-2023,Mall of Istanbul
I109040,C128456,Shoes,1,3717.46,30-09-2021,Emaar Square Mall
I260788,C218389,Clothing,5,1778.59,11-05-2022,Metropol AVM
I160144,C119913,Cosmetics,5,8332.49,13-07-2021,Mall of Istanbul
I865648,C186242,Food & Beverage,4,2853.92,10-03-2021,Metrocity
I159309,C224012,Cosmetics,3,3225.64,19-11-2022,Kanyon
I379875,C339044,Shoes,3,8230.42,21-10-2022,Metropol AVM
I319282,C803306,Toys,3,2142.06,10-11-2022,Mall of Istanbul
I298930,C712422,Clothing,2,6387.12,10-02-2021,Mall of Istanbul
I216637,C118593,Toys,1,6911.27,18-01-2021,Istinye Park
I219666,C189071,Clothing,4,1901.28,24-06-2021,Forum Istanbul
I128323,C305161,Food & Beverage,4,6872.21,24-04-2022,Kanyon
I100367,C268495,Food & Beverage,5,4608.55,22-11-2021,Kanyon
I217744,C743246,Clothing,5,6134.37,17-02-2023,Kanyon
I816902,C235599,Food & Beverage,3,4248.59,12-03-2021,Mall of Istanbul
I280169,C166270,Cosmetics,2,7760.22,20-09-2021,Kanyon
I132483,C115668,Clothing,4,4385.56,01-08-2021,Metrocity
I187582,C106890,Cosmetics,2,9882.96,04-10-2022,Istinye Park
I452570,C887131,Books,2,99.17,26-02-2022,Mall of Istanbul
I185353,C304905,Books,5,9250.83,28-07-2022,Kanyon
I859019,C270570,Cosmetics,2,3807.35,05-03-2022,Kanyon
I657144,C900955,Clothing,1,5903.77,03-02-2023,Istinye Park
I540542,C239492,Food & Beverage,5,6108.0,25-06-2021,Istinye Park
I539306,C152148,Shoes,4,1209.77,14-09-2022,Mall of Istanbul
I593709,C154667,Souvenir,2,7271.75,14-08-2021,Mall of Istanbul
I138685,C225331,Shoes,1,4038.82,11-06-2021,Zorlu Center
I192245,C668432,Books,5,437.53,07-07-2022,Metropol AVM
I159235,C312481,Food & Beverage,4,6531.35,01-01-2021,Mall of Istanbul
I399512,C231481,Souvenir,5,2978.13,16-06-2022,Forum Istanbul
I339572,C243248,Books,1,1926.69,04-02-2022,Metrocity
I149002,C131298,Food & Beverage,2,6497.32,28-07-2021,Kanyon
I224674,C100936,Clothing,3,9910.4,23-10-2021,Istinye Park
I114047,C171872,Books,3,1000.84,30-10-2021,Emaar Square Mall
I322566,C121724,Toys,1,9169.86,04-02-2023,Kanyon
I167423,C120753,Clothing,2,3809.49,07-06-2021,Mall of Istanbul
I153060,C333551,Clothing,3,5946.27,17-11-2022,Emaar Square Mall
I636976,C827162,Food & Beverage,5,3761.88,04-03-2021,Metrocity
I107624,C245603,Toys,1,9787.16,15-05-2022,Istinye Park
I128186,C525179,Shoes,5,7024.95,07-01-2023,Metropol AVM
I211053,C307453,Clothing,1,1410.25,30-05-2021,Cevahir AVM
I352158,C573272,Food & Beverage,4,9256.25,29-03-2021,Emaar Square Mall
I217519,C105565,Food & Beverage,5,6324.25,22-02-2021,Forum Istanbul
I124836,C265661,Shoes,3,6232.44,08-03-2023,Metrocity
I307205,C181199,Shoes,2,4912.94,05-07-2022,Emaar Square Mall
I283074,C159343,Clothing,4,6763.47,13-06-2022,Kanyon
I286434,C227121,Toys,1,4932.68,09-08-2022,Metrocity
I290592,C278071,Toys,5,5198.18,08-04-2022,Emaar Square Mall
I232821,C110406,Clothing,5,3185.18,02-06-2022,Mall of Istanbul
I311072,C253441,Food & Beverage,2,3913.79,16-12-2021,Istinye Park
I409306,C190959,Clothing,4,9738.45,27-08-2022,Metropol AVM
I461018,C290455,Toys,3,2460.86,17-12-2022,Metrocity
I167244,C100783,Food & Beverage,2,639.19,29-07-2022,Viaport Outlet
I259437,C105245,Cosmetics,2,9430.23,19-12-2021,Istinye Park
I548527,C267945,Shoes,5,3342.86,31-08-2021,Metropol AVM
I319643,C202247,Technology,5,2362.3,08-02-2023,Kanyon
I277034,C274312,Clothing,4,8021.17,01-09-2021,Istinye Park
I257013,C278582,Clothing,5,1691.15,17-08-2021,Metropol AVM
I119002,C118884,Books,3,6679.98,06-07-2021,Cevahir AVM
I182167,C207900,Clothing,3,4610.31,17-07-2021,Mall of Istanbul
I109723,C114246,Food & Beverage,5,2279.94,04-03-2023,Kanyon
I227635,C319179,Clothing,5,2877.64,04-07-2022,Mall of Istanbul
I156853,C198222,Clothing,4,6695.37,20-05-2021,Metrocity
I339784,C279814,Cosmetics,4,8566.5,09-06-2021,Mall of Istanbul
I139305,C206862,Clothing,3,159.17,12-06-2022,Mall of Istanbul
I954475,C393913,Clothing,4,5002.47,24-05-2021,Metrocity
I160052,C286161,Toys,5,7860.72,02-03-2023,Mall of Istanbul
I243436,C103715,Toys,4,9890.06,05-04-2021,Emaar Square Mall
I913042,C197118,Clothing,2,5166.5,21-03-2021,Zorlu Center
I830829,C133681,Cosmetics,3,2032.26,19-01-2022,Emaar Square Mall
I645877,C168422,Food & Beverage,3,5980.52,27-01-2023,Metrocity
I779884,C152540,Clothing,3,7594.53,19-03-2022,Kanyon
I124258,C462963,Clothing,2,6817.8,23-08-2022,Mall of Istanbul
I247832,C291224,Souvenir,4,5082.14,13-07-2022,Metropol AVM
I175967,C223631,Food & Beverage,2,2740.19,01-10-2022,Zorlu Center
I523650,C904141,Books,4,5976.85,15-11-2022,Kanyon
I250194,C890291,Clothing,4,5537.44,23-10-2022,Metropol AVM
I394782,C312781,Shoes,1,5650.57,17-06-2022,Istinye Park
I125287,C132692,Clothing,5,7447.1,29-12-2021,Metropol AVM
